SMILES,G01,G02,G03,G04,T01,T02,T03,B01,B02,H01,Cyclic,H_298K_per_C
C([Pt])C,1,0,0,0,1,0,0,0,0,0,0,-13.37482617
C([Pt])([Pt])C,1,0,0,0,0,0,0,1,0,0,0,-8.40218166
C(C[Pt])[Pt],0,0,0,0,2,0,0,0,0,0,0,-11.57622684
C([Pt])([Pt])([Pt])C,1,0,0,0,0,0,0,0,0,1,0,-12.63604823
C(C[Pt])([Pt])[Pt],0,0,0,0,1,0,0,1,0,0,0,-6.13902393
C(C[Pt])([Pt])([Pt])[Pt],0,0,0,0,1,0,0,0,0,1,0,-3.476363855
C(C([Pt])[Pt])([Pt])[Pt],0,0,0,0,0,0,0,2,0,0,0,-0.978247609
C(C([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,0,1,0,1,0,11.71220767
C([Pt])(C)C,2,0,0,0,0,1,0,0,0,0,0,-12.36954921
C(C[Pt])C,1,1,0,0,1,0,0,0,0,0,0,-11.83511406
C([Pt])([Pt])(C)C,2,0,0,0,0,0,0,0,1,0,0,-9.152314727
C(C[Pt])([Pt])C,1,0,0,0,1,1,0,0,0,0,0,-11.20454472
C(CC)([Pt])[Pt],1,1,0,0,0,0,0,1,0,0,0,-7.732008337
C(CC[Pt])[Pt],0,1,0,0,2,0,0,0,0,0,0,-10.23252568
C(C[Pt])([Pt])([Pt])C,1,0,0,0,1,0,0,0,1,0,0,-8.463787877
C(C[Pt])(C[Pt])[Pt],0,0,0,0,2,1,0,0,0,0,0,-9.06835548
C(C([Pt])[Pt])([Pt])C,1,0,0,0,0,1,0,1,0,0,0,-7.826106957
C(CC[Pt])([Pt])[Pt],0,1,0,0,1,0,0,1,0,0,0,-6.088870517
C1(CC1)[Pt],0,2,0,0,0,1,0,0,0,0,1,0.867496169
C(CC)([Pt])([Pt])[Pt],1,1,0,0,0,0,0,0,0,1,0,-11.440203
C(C[Pt])(C[Pt])([Pt])[Pt],0,0,0,0,2,0,0,0,1,0,0,-4.196944313
C(CC([Pt])[Pt])([Pt])[Pt],0,1,0,0,0,0,0,2,0,0,0,-1.238713874
C(C(C[Pt])[Pt])([Pt])[Pt],0,0,0,0,1,1,0,1,0,0,0,-5.007842487
C(C([Pt])[Pt])([Pt])([Pt])C,1,0,0,0,0,0,0,1,1,0,0,-5.287777587
C(CC[Pt])([Pt])([Pt])[Pt],0,1,0,0,1,0,0,0,0,1,0,-4.604192377
C(C([Pt])C)([Pt])([Pt])[Pt],1,0,0,0,0,1,0,0,0,1,0,-6.549939943
C(C(C([Pt])[Pt])[Pt])([Pt])[Pt],0,0,0,0,0,1,0,2,0,0,0,-0.243489819
C(CC([Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,0,0,1,0,1,0,2.390685108
C(C(C[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,1,1,0,0,0,1,0,-2.286534409
C(C([Pt])([Pt])[Pt])([Pt])([Pt])C,1,0,0,0,0,0,0,0,1,1,0,2.354833306
C1(C(C1[Pt])[Pt])[Pt],0,0,0,0,0,3,0,0,0,0,1,3.996418077
C(C([Pt])[Pt])(C[Pt])([Pt])[Pt],0,0,0,0,1,0,0,1,1,0,0,-1.023988444
C(CC([Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,0,0,0,0,2,0,8.421806333
C(C(C([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,1,0,1,0,1,0,4.285005127
C(C(C[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,1,0,0,0,1,1,0,7.378787947
C(C([Pt])[Pt])(C([Pt])[Pt])([Pt])[Pt],0,0,0,0,0,0,0,2,1,0,0,5.262020903
C(C(C([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,0,1,1,1,0,15.24429313
C(C(C([Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,1,0,0,0,2,0,11.15435336
C(C(C([Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,0,0,1,2,0,23.41416781
C(CC)([Pt])([Pt])C,2,1,0,0,0,0,0,0,1,0,0,-7.278966523
C(CC)(C[Pt])[Pt],1,1,0,0,1,1,0,0,0,0,0,-10.45432366
C(CCC[Pt])[Pt],0,2,0,0,2,0,0,0,0,0,0,-9.074622623
C(C([Pt])C)([Pt])([Pt])C,2,0,0,0,0,1,0,0,1,0,0,-9.0079946
C(C[Pt])(CC[Pt])[Pt],0,1,0,0,2,1,0,0,0,0,0,-8.891821535
C(CC[Pt])([Pt])([Pt])C,1,1,0,0,1,0,0,0,1,0,0,-7.089452935
C(C(C[Pt])[Pt])([Pt])C,1,0,0,0,1,2,0,0,0,0,0,-9.387759863
C(CC([Pt])[Pt])([Pt])C,1,1,0,0,0,1,0,1,0,0,0,-7.20576511
C(C(CC)[Pt])([Pt])[Pt],1,1,0,0,0,1,0,1,0,0,0,-8.20042237
C(C[Pt])(C[Pt])C[Pt],0,0,1,0,3,0,0,0,0,0,0,-8.737038445
C1(CCC1)[Pt],0,3,0,0,0,1,0,0,0,0,1,-2.56487572
C(CCC[Pt])([Pt])[Pt],0,2,0,0,1,0,0,1,0,0,0,-6.404867048
C(CC([Pt])[Pt])([Pt])([Pt])C,1,1,0,0,0,0,0,1,1,0,0,-3.848991363
C(C([Pt])([Pt])C)([Pt])([Pt])C,2,0,0,0,0,0,0,0,2,0,0,-7.280283748
C(C(C[Pt])[Pt])([Pt])([Pt])C,1,0,0,0,1,1,0,0,1,0,0,-6.971833065
C(CC(C[Pt])[Pt])([Pt])[Pt],0,1,0,0,1,1,0,1,0,0,0,-6.289638873
C(C(CC[Pt])[Pt])([Pt])[Pt],0,1,0,0,1,1,0,1,0,0,0,-6.11036139
C(C(C[Pt])C[Pt])([Pt])[Pt],0,0,1,0,2,0,0,1,0,0,0,-2.662018983
C1(C(CC1)[Pt])[Pt],0,2,0,0,0,2,0,0,0,0,1,-1.72612383
C(C(C[Pt])[Pt])(C[Pt])[Pt],0,0,0,0,2,2,0,0,0,0,0,-8.652382988
C(CC([Pt])([Pt])[Pt])([Pt])([Pt])C,1,1,0,0,0,0,0,0,1,1,0,-1.360490822
C(CC(C[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,1,1,0,0,0,1,0,-4.783953463
C(CC(C([Pt])[Pt])[Pt])([Pt])[Pt],0,1,0,0,0,1,0,2,0,0,0,-2.93988217
C(C(C[Pt])[Pt])(C[Pt])([Pt])[Pt],0,0,0,0,2,1,0,0,1,0,0,-5.531686383
C(C(C[Pt])([Pt])[Pt])([Pt])([Pt])C,1,0,0,0,1,0,0,0,2,0,0,-4.28411453
C(CCC([Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,2,0,0,0,0,0,0,0,2,0,-3.886373455
C(CC(C([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,1,0,1,0,1,0,-1.263285881
C(C(C(C[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,1,2,0,0,0,1,0,-2.056245813
C(C(C([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])C,1,0,0,0,0,0,0,1,2,0,0,0.442288617
C(C(C[Pt])([Pt])[Pt])(C[Pt])([Pt])[Pt],0,0,0,0,2,0,0,0,2,0,0,0.269280376
C(C([Pt])([Pt])[Pt])(C([Pt])([Pt])[Pt])([Pt])C,1,0,0,0,0,0,1,0,0,2,0,4.57693943
C(C(C(C([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,1,0,1,0,1.825673768
C(CC(C([Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,1,0,0,0,2,0,1.024822854
C(C(C(C([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,1,0,1,1,1,0,6.89274331
C(C(C(C([Pt])([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,0,0,2,0,3.385717228
C(C(C(C([Pt])[Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,1,0,1,1,1,0,8.60758013
C(C(C([Pt])[Pt])([Pt])[Pt])(C([Pt])[Pt])([Pt])[Pt],0,0,0,0,0,0,0,2,2,0,0,9.247940135
C(C(C(C([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,0,1,2,1,0,16.05022679
C(C(C(C([Pt])([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,1,0,0,1,2,0,13.66730723
C(C(C(C([Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,0,0,2,2,0,23.24009235
C(C(C([Pt])([Pt])[Pt])(C([Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,0,1,0,0,3,0,23.386749
C1(CCCC1)[Pt],0,4,0,0,0,1,0,0,0,0,1,-7.378427332
C(C(CC[Pt])C)([Pt])[Pt],1,1,1,0,1,0,0,1,0,0,0,-6.6518294
C(C(C(C[Pt])[Pt])C)([Pt])[Pt],1,0,1,0,1,1,0,1,0,0,0,-6.902379034
C(C[Pt])(CC([Pt])C)([Pt])[Pt],1,1,0,0,1,1,0,0,1,0,0,-7.348939364
C1(C(CCC1)[Pt])[Pt],0,3,0,0,0,2,0,0,0,0,1,-7.368519256
C(C(C(C[Pt])[Pt])[Pt])([Pt])C,1,0,0,0,1,3,0,0,0,0,0,-9.072657552
C(C(C([Pt])[Pt])CC[Pt])([Pt])[Pt],0,1,1,0,1,0,0,2,0,0,0,-0.549627222
C(C(C(C[Pt])C[Pt])[Pt])([Pt])[Pt],0,0,1,0,2,1,0,1,0,0,0,-4.386443316
C(C(C(C[Pt])[Pt])[Pt])(C[Pt])[Pt],0,0,0,0,2,3,0,0,0,0,0,-6.697576226
C1(C(C(CC1)[Pt])[Pt])[Pt],0,2,0,0,0,3,0,0,0,0,1,-5.126615018
C1(CC(C(C1)[Pt])[Pt])[Pt],0,2,0,0,0,3,0,0,0,0,1,-5.92300459
C1(C(CCC1)[Pt])([Pt])[Pt],0,3,0,0,0,1,0,0,1,0,1,-4.223292596
C(C(C(C([Pt])[Pt])[Pt])[Pt])([Pt])C,1,0,0,0,0,3,0,1,0,0,0,-6.358278304
C(C([Pt])C)(C(C[Pt])[Pt])([Pt])[Pt],1,0,0,0,1,2,0,0,1,0,0,-6.654051124
C(C([Pt])[Pt])(C([Pt])[Pt])(CC[Pt])[Pt],0,1,0,0,1,0,1,2,0,0,0,-1.328585181
C(C([Pt])[Pt])(C([Pt])[Pt])(C([Pt])[Pt])C,1,0,0,1,0,0,0,3,0,0,0,3.988792582
C(C([Pt])[Pt])(C(C([Pt])[Pt])[Pt])([Pt])C,1,0,0,0,0,1,1,2,0,0,0,-2.564575302
C(C([Pt])[Pt])(CCC([Pt])[Pt])([Pt])[Pt],0,2,0,0,0,0,0,2,1,0,0,-2.104261584
C1(C(CCC1)([Pt])[Pt])([Pt])[Pt],0,3,0,0,0,0,0,0,2,0,1,-3.536156402
C(C(C([Pt])[Pt])CC([Pt])[Pt])([Pt])([Pt])[Pt],0,1,1,0,0,0,0,2,0,1,0,4.007667732
C(CC(C([Pt])([Pt])[Pt])C[Pt])([Pt])([Pt])[Pt],0,1,1,0,1,0,0,0,0,2,0,-1.11811704
C(C(C(C([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])C,1,0,0,0,0,1,0,1,2,0,0,-0.451515643
C(C(C(C[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])([Pt])C,1,0,0,0,1,0,0,0,3,0,0,0.443170846
C(C(C(C([Pt])C)([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],1,0,0,0,0,2,0,0,1,1,0,-0.67101517
C(CC(C(C([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,1,0,1,1,1,0,1.002717775
C(C(C(CC([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,1,0,1,1,1,0,2.108977426
C(C(C(C([Pt])[Pt])C([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,1,0,0,1,0,2,0,1,0,5.950480372
C(C(C(C(C[Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,1,2,0,0,1,1,0,0.451414821
C(C(C(C([Pt])[Pt])([Pt])[Pt])[Pt])(C[Pt])([Pt])[Pt],0,0,0,0,1,1,0,1,2,0,0,2.12848402
C1(C(C(C(C1[Pt])[Pt])[Pt])[Pt])([Pt])[Pt],0,0,0,0,0,4,0,0,1,0,1,1.611785864
C1(C(C(CC1[Pt])[Pt])([Pt])[Pt])([Pt])[Pt],0,1,0,0,0,2,0,0,2,0,1,3.784372688
C1(C(C(CC1)([Pt])[Pt])([Pt])[Pt])([Pt])[Pt],0,2,0,0,0,0,0,0,3,0,1,6.012788934
C(C(C([Pt])[Pt])(C(C([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,1,1,2,0,1,0,6.950791112
C(C(C(C(C([Pt])[Pt])[Pt])[Pt])([Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,1,1,1,0,6.675480718
C(CC(C(C([Pt])([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,1,0,0,1,2,0,4.737066834
C(C(CC(C([Pt])([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,1,0,0,0,1,0,0,1,2,0,5.297181938
C(C(C(C(C([Pt])([Pt])[Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,3,0,0,0,2,0,3.746701094
C(C(C(C(C([Pt])[Pt])([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,1,1,1,0,1.793322029
C1(C(C(C(C1[Pt])[Pt])[Pt])([Pt])[Pt])([Pt])[Pt],0,0,0,0,0,3,0,0,2,0,1,6.410413228
C1(C(C(C(C1[Pt])([Pt])[Pt])[Pt])[Pt])([Pt])[Pt],0,0,0,0,0,3,0,0,2,0,1,8.64911365
C1(C(C(C(C1)[Pt])([Pt])[Pt])([Pt])[Pt])([Pt])[Pt],0,1,0,0,0,1,0,0,3,0,1,10.31938114
C(C(C(C(C([Pt])([Pt])[Pt])([Pt])[Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,0,1,2,0,6.757176564
C(C(C(C(C([Pt])([Pt])[Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,2,0,0,1,2,0,7.694638474
C(C(C(C(C([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])[Pt])([Pt])([Pt])[Pt],0,0,0,0,0,1,0,1,2,1,0,9.84535472
C(C(C(C([Pt])[Pt])([Pt])[Pt])([Pt])[Pt])(C([Pt])[Pt])([Pt])[Pt],0,0,0,0,0,0,0,2,3,0,0,11.90104501
